Brand_Name,Ingredients
"Seven Sundays Cereal","Sorghum Flakes, Almonds, Coconute Sugar, Salt"
"Gerber Organic Biologique","Organic Wheat Flour, Organic Whole Grain Oat, Organic Babana Puree, Organic Raspberry Puree, Organic Rice Flour, Thiamine Mononitrate, Roboflavin Niacinamide, Ferrous Fumarate"
"Earth's Best Oatmeal Cereal","Organic Whole Grain Oat Flour, Alpha Amylase, Tocopherols, Electrolytic Iron"
"Simply Nature Multigrain Hot Cereal","Organic Oats, Organic Barley Flakes, Organic Rye Flakes, Organic Red Quinoa"
"Holy Crap Organic Cereal","Organic Chia Seeds, Organic Buckwheat Kernels, Organic Hulled Hemp Seeds"
"RX Cereal","Brown Rice, Almonds, Whole Grain Sorghum, Coconut Sugar, Pea Protein, Honey, Cocoa, Chocolate, Salt, Natural Flavors, Rosemary, Extract"
"Kind Cranberry Almond Cereal","Almonds, Oats, Cane Sugar, Sorghum, Brown Rice, Cranberries, Red Rice, Quinoa, Amaranth, Sea Salt, Natural Flavor, Vitamin E, Vegetable Juice Concentrate"
"Kellogs Raisin Bran Crunch Cereal","Whole Grain Wheat, Raisins, Wheat Bran, Sugar, Brown Sugar Syrup, Contains 2% Or Less Of Salt , Malt Flavor. Vitamins And Minerals: Potassium Chloride, Niacinamide, Reduced Iron, Vitamin B6 (Pyridoxine Hydrochloride), Zinc Oxide, Vitamin B2 ( Riboflavin ), Vitamin B1 (Thiamin Hydrochloride), Vitamin A Palmitate, Folic Acid, Vitamin D, Vitamin B12."
"Post Honey Bunch Oats","Corn, Whole Grain Wheat, Sugar, Whole Grain Rolled Oats, Almonds, Rice, Canola Oil, Corn Syrup, Dried Bananas, Salt, Barley Malt Extract, Molasses, Cinnamon, Honey, Caramel Color, Natural Flavor, Bht Added To Preserve Freshness. Vitamins And Minerals: Ferric, Orthophosphate (Source Of Iron), Reduced Iron, Niacinamide (Vitamin B3), Zinc Oxide, Thiamin Mononitrate (Vitamin B1), Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Folic Acid"
"Post Original Chips Ahoy Cereal","Corn, Whole Grain Wheat, Sugar, Whole Grain Rolled Oats, Almonds, Rice, Canola Oil, Corn Syrup, Dried Bananas, Salt, Barley Malt Extract, Molasses, Cinnamon, Honey, Caramel Color, Natural Flavor, Bht Added To Preserve Freshness. Vitamins And Minerals: Ferric Orthophosphate (Source Of Iron), Reduced Iron, Niacinamide (Vitamin B3), Zinc Oxide, Thiamin Mononitrate (Vitamin B1), Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Folic Acid"
